abdomen -minal abdominal
wholesome -ness wholesomeness
whom -soever whomsoever
whore -monger whoremonger
wicked -ness wickedness
widow -ed widowed
widow -er widower
widow -hood widowhood
wife -ly wifely
willing -ness willingness
wing -ed winged
wink -ing winking
winning -s winnings
winter -try wintertry
wipe -r wiper
withdraw -al withdrawal
wither -ing withering
wolf -ish wolfish
wonder -ful wonderful
wonder -ment wonderment
wont -ed wonted
woo -ing wooing
work -able workable
worship -ful worshipful
worship -per worshipper
wrath -ful wrathful
wreck -age wreckage
wreck -er wrecker
wrestle -r wrestler
wretch -ed wretched
wretch -edness wretchedness
wring -ing wringing
wrinkle -d wrinkled
yacht -ing yachting
yeast -y yeasty
young -ster youngster
youth -ful youthful
youth -fulness youthfulness
zeal -ous zealous
zoology -gist zoologygist
zoology -gical zoologygical
